,index,col0,col1,col2
0,0,,,
1,1,,,
2,2,,,
3,3,2.5291682463,0.1491700354,-0.0315121806
4,4,1.7983007186,0.1917496584,0.7765812364
5,5,1.7024280628,-0.8690499691,1.4540896599
6,6,2.6339523402,1.6767492636,1.9844609506
7,7,1.8783572130,1.9183284873,0.7825192963
8,8,1.6430362018,0.4339525168,1.3505182714
9,9,2.4197332023,1.8048575435,1.0309982357
10,10,0.3771026940,-1.0355986379,-0.4643478633
11,11,-0.8560617887,-0.7223469551,1.2260003775
12,12,-0.1446251312,1.6275521212,1.5043193453
13,13,-2.6004654195,0.1503161942,2.5200216337
14,14,-3.8619655592,2.0883739936,4.0431816441
15,15,-3.9585233348,1.7140703168,2.9654086338
16,16,-5.2133167267,1.3775348978,2.8219452561
17,17,-2.9857891495,4.0950101988,1.6981688635
18,18,-2.1688953925,2.8862459536,0.7168564088
19,19,-3.0189115646,1.7197288623,0.5657095128
20,20,-0.5404316753,0.0081542727,-0.0192474935
21,21,-1.0804553084,-2.7044489950,0.8861762886
22,22,-0.1049030282,-2.5361625884,-0.2562107472
23,23,-0.1173475131,-1.4412744492,1.9663195829
24,24,-2.1273790065,-0.2750692202,0.8633062364
25,25,-1.7906801163,1.3679243138,-0.9460394018
26,26,-3.0092018985,1.4580279151,1.0302921549
27,27,-1.2087556939,2.5704100174,-0.2704324268
28,28,-1.2650116593,2.0290623848,1.3597047717
29,29,-1.6676279988,3.9220483024,3.2022388938
30,30,-1.1183410336,4.5347137583,2.0318812474
31,31,0.3582391326,2.2240221247,0.3429641820
32,32,0.9453805977,1.4177864599,-0.2053510769
33,33,0.1793634186,-0.8199102915,-1.5108582977
34,34,1.6036149429,-1.6690404246,-0.5234917914
35,35,-1.4695068916,-0.0978823741,0.2267051986
36,36,-1.2471460718,1.4462477486,-0.6745965564
37,37,-2.1491052667,0.8909464207,-0.3188206865
38,38,-4.2998362277,0.2676154879,-0.8810089657
39,39,-2.8821313419,-1.9612322308,-1.2976761370
40,40,-2.3525283569,-2.8809848075,-1.2943993357
41,41,-0.2214899518,-1.9517571005,-0.7293262826
42,42,0.9910478147,-0.8908696383,-0.8972911658
43,43,0.4930828832,-0.6217611923,-0.8405097883
44,44,-1.7239056872,-0.0020653144,-0.4893276984
45,45,-2.6151181767,-0.4731467290,-0.5009649725
46,46,-2.9601086653,-1.5710979093,-2.1940158851
47,47,-1.6018827435,-0.1716340247,-3.0945364841
48,48,0.2202575364,-0.2866062321,-3.3419423998
49,49,-0.8229384105,-1.8148939096,-3.7874394888
50,50,-0.0382156702,-0.5732491131,-2.0284475817
51,51,-1.4804201768,-0.1661896927,0.8543724096
52,52,-2.5009604667,0.8586528321,2.4304762540
53,53,-0.1262440225,3.0554251819,2.4839848758
54,54,0.5806715306,1.3199684536,2.1540611023
55,55,1.8970339301,-0.1786411127,-0.3238244793
56,56,1.7347384072,-0.7466570886,-1.1999972385
57,57,0.8138497425,-1.2866731898,-1.3287173475
58,58,0.1141136514,0.6060438645,-0.9869825792
59,59,0.1583786595,5.3966003951,-0.8116841581
60,60,0.5184219448,5.4524556386,-0.2738245079
61,61,0.6419753440,6.0742353278,1.5475730440
62,62,-0.7956230614,6.5131894050,1.1160943352
63,63,-2.9673748126,3.3118491657,2.3450370009
64,64,-1.6756747524,2.4256894103,2.5158344784
65,65,-0.1337757471,2.0490929907,0.5818750935
66,66,0.9005491053,0.3222660126,0.9147277237
67,67,3.1002886273,-0.5659438454,0.5256084024
68,68,2.6493988299,-0.7360381486,-0.0668594907
69,69,0.6480390468,-1.4131332297,-0.4386488027
70,70,1.0814447738,1.6743505515,-0.6382311103
71,71,1.6159484424,0.0439039656,-0.1528252198
72,72,1.2184863783,1.2155277038,1.2006422894
73,73,3.4282497887,-0.4790623067,2.9329228994
74,74,0.4471090791,-3.2656527392,5.0615951826
75,75,-0.2690249830,-0.3094369496,3.7962493285
76,76,-0.1461518757,-0.9314171209,3.2174263574
77,77,-2.0098028819,-0.3964460277,2.4414975371
78,78,0.7017029987,-0.6398178711,2.4781180128
79,79,-2.1077684203,-1.0491707192,2.4371672903
80,80,-2.4144873764,-1.8438173700,0.7251248114
81,81,-1.7583674544,-0.5496140025,-0.0576098398
82,82,-0.3722341862,0.2112615467,-4.3713084973
83,83,1.0970645101,-1.1199365498,-4.0887652336
84,84,0.5082427951,1.7543741712,-4.0081760530
85,85,-0.3506268200,2.1718346039,-3.2583896211
86,86,-0.9131187470,0.1011201774,-0.7927379210
87,87,-0.0660974191,0.9391748398,1.6091879399
88,88,0.2126359800,-1.8665557143,3.3187444397
89,89,1.2276604567,-1.6480414019,2.5914469975
90,90,0.4093358884,-0.4154195536,1.3512763504
91,91,1.0492297692,-0.7166103099,-0.0329753173
92,92,0.8769368791,0.4501634339,-2.3036323625
93,93,0.0360072994,0.4634852933,0.1047300590
94,94,-0.4531784031,0.0557096246,2.1825848511
95,95,-2.8853383417,-0.1640551697,1.2214900275
96,96,-1.8871649708,-1.1439877599,0.8285887054
97,97,-1.2984475520,-2.6630721866,0.3510023137
98,98,-0.9012259422,0.3026784607,-0.9429776523
99,99,0.3277018725,1.0421614075,0.7640143118
100,100,-1.3837891466,0.2562227643,0.8827211821
101,101,-2.0654897415,1.8274139440,-1.0705262150
102,102,-2.4133177147,2.1841159007,-0.9507426701
103,103,-2.9810078506,2.8115994503,-2.1415783883
104,104,-1.7269228202,2.5531134387,-0.9972162010
105,105,-0.9022266406,1.1510174187,0.2250087544
106,106,1.3266737771,0.2957723709,-0.8478553747
107,107,2.3035288592,-1.4443623553,-1.0372154535
108,108,2.7223649616,0.5188270388,-0.4668543503
109,109,2.2438681890,1.7776951651,-0.5752654486
110,110,-1.5610889275,-0.4161464556,1.2039698588
111,111,-1.7621806158,0.2319976539,0.2217072520
112,112,-1.9595007966,-3.4530891143,-1.4327025504
113,113,0.5781872317,-5.2521108090,-0.6694645626
114,114,2.3045974822,-4.5777484889,-1.0487654287
115,115,2.6326587000,-5.7660063148,-0.6726098734
116,116,2.5377167203,-0.8923276708,2.4126562728
117,117,-1.0942034298,-1.2980814074,1.2506540852
118,118,0.2409803495,-1.4855577427,2.0976372573
119,119,0.6913660399,-0.1070339834,2.9136422753
120,120,1.5171097566,-0.2981719983,3.4232382246
121,121,1.7764003395,-0.3038927715,5.0629044328
122,122,2.0363718359,1.2993154673,3.6346431003
123,123,-0.1174122596,1.1788079511,4.5386955698
124,124,-0.3215871129,-1.2439739891,3.1233235945
125,125,2.7782559678,0.6539916364,2.7366143096
126,126,0.3849253317,-0.3101124202,2.0206549975
127,127,1.2204786649,-0.9205623584,1.7351355065
128,128,0.7332729362,0.1307483777,2.1481840438
129,129,-1.9606583438,-0.7166686935,-0.9791870002
130,130,-2.5207854497,-0.8022110438,-1.1975220522
131,131,-1.8859247453,0.4601365079,-3.9228056900
132,132,-3.0478798241,1.9763512391,-5.2506370113
133,133,-2.0708117394,1.1238493371,-2.7743552691
134,134,-1.4395725425,3.1433653665,-0.0887397043
135,135,0.0417988877,0.5291468925,2.0245872539
136,136,0.3208493091,-1.2086550187,3.9226096339
137,137,-0.4748046378,0.6174776866,1.8249659199
138,138,1.2581368138,-1.2345638203,-1.3807735716
139,139,-1.5226619076,0.0948244594,-1.5104160509
140,140,-0.5119486807,0.0384873040,-2.7549661475
141,141,1.1172555898,-1.0428308371,-1.4075594374
142,142,-1.3037448621,-1.9131874618,-1.7716190981
143,143,0.1117533129,-0.4408858449,-1.8051914387
144,144,0.1441761725,0.1242518914,-3.4937263882
145,145,-0.3811437100,-0.0756567692,-2.7913590912
146,146,-0.0106111863,1.4133078632,-0.3573187451
147,147,-1.5157016579,0.8710052870,-1.2080784919
148,148,-1.2536428866,1.3268519199,-0.4174759087
149,149,-1.7384810851,2.6493903571,-2.1463619795
