,index,col0,col1,col2
0,0,0.4967141530,0.7910319470,-0.7925207384
1,1,-0.1382643012,-0.9093874548,-0.7925207384
2,2,-0.1382643012,-0.9093874548,-0.7925207384
3,3,-0.1382643012,-1.4018510628,-0.7925207384
4,4,-0.2341533747,-1.4018510628,-1.2002964071
5,5,-0.2341533747,-1.4018510628,-1.2002964071
6,6,-0.2341533747,-1.4018510628,-1.2002964071
7,7,-0.2341533747,-1.4018510628,-1.2002964071
8,8,-0.4694743859,-1.4018510628,-1.2002964071
9,9,-0.4694743859,-1.4018510628,-1.2002964071
10,10,-0.4694743859,-1.5506634311,-1.2608839543
11,11,-0.4694743859,-1.5506634311,-1.2608839543
12,12,-0.4694743859,-1.5506634311,-1.2608839543
13,13,-1.9132802447,-1.5506634311,-1.2608839543
14,14,-1.9132802447,-1.5506634311,-1.5193699660
15,15,-1.9132802447,-1.5506634311,-1.5193699660
16,16,-1.9132802447,-1.5506634311,-1.5193699660
17,17,-1.9132802447,-1.5506634311,-1.5193699660
18,18,-1.9132802447,-1.5506634311,-1.5193699660
19,19,-1.9132802447,-1.5506634311,-1.5193699660
20,20,-1.9132802447,-1.5506634311,-1.5193699660
21,21,-1.9132802447,-1.5506634311,-1.5193699660
22,22,-1.9132802447,-1.6074832346,-3.2412673401
23,23,-1.9132802447,-1.6074832346,-3.2412673401
24,24,-1.9132802447,-1.6074832346,-3.2412673401
25,25,-1.9132802447,-1.6074832346,-3.2412673401
26,26,-1.9132802447,-1.6074832346,-3.2412673401
27,27,-1.9132802447,-1.6074832346,-3.2412673401
28,28,-1.9132802447,-1.6074832346,-3.2412673401
29,29,-1.9132802447,-1.6074832346,-3.2412673401
30,30,-1.9132802447,-1.6074832346,-3.2412673401
31,31,-1.9132802447,-1.6074832346,-3.2412673401
32,32,-1.9132802447,-1.6074832346,-3.2412673401
33,33,-1.9132802447,-1.6074832346,-3.2412673401
34,34,-1.9132802447,-1.6074832346,-3.2412673401
35,35,-1.9132802447,-1.6074832346,-3.2412673401
36,36,-1.9132802447,-1.6074832346,-3.2412673401
37,37,-1.9596701239,-1.6074832346,-3.2412673401
38,38,-1.9596701239,-1.6074832346,-3.2412673401
39,39,-1.9596701239,-1.6074832346,-3.2412673401
40,40,-1.9596701239,-1.6074832346,-3.2412673401
41,41,-1.9596701239,-1.6074832346,-3.2412673401
42,42,-1.9596701239,-1.6074832346,-3.2412673401
43,43,-1.9596701239,-1.6074832346,-3.2412673401
44,44,-1.9596701239,-1.6074832346,-3.2412673401
45,45,-1.9596701239,-1.6074832346,-3.2412673401
46,46,-1.9596701239,-1.6074832346,-3.2412673401
47,47,-1.9596701239,-1.6074832346,-3.2412673401
48,48,-1.9596701239,-1.6074832346,-3.2412673401
49,49,-1.9596701239,-1.6074832346,-3.2412673401
50,50,-1.9596701239,-1.6074832346,-3.2412673401
51,51,-1.9596701239,-1.6074832346,-3.2412673401
52,52,-1.9596701239,-1.6074832346,-3.2412673401
53,53,-1.9596701239,-1.6074832346,-3.2412673401
54,54,-1.9596701239,-1.6074832346,-3.2412673401
55,55,-1.9596701239,-1.6074832346,-3.2412673401
56,56,-1.9596701239,-1.6074832346,-3.2412673401
57,57,-1.9596701239,-1.6074832346,-3.2412673401
58,58,-1.9596701239,-1.6074832346,-3.2412673401
59,59,-1.9596701239,-1.6074832346,-3.2412673401
60,60,-1.9596701239,-1.6074832346,-3.2412673401
61,61,-1.9596701239,-1.6074832346,-3.2412673401
62,62,-1.9596701239,-1.6074832346,-3.2412673401
63,63,-1.9596701239,-1.6074832346,-3.2412673401
64,64,-1.9596701239,-1.6074832346,-3.2412673401
65,65,-1.9596701239,-1.6074832346,-3.2412673401
66,66,-1.9596701239,-1.6074832346,-3.2412673401
67,67,-1.9596701239,-1.6074832346,-3.2412673401
68,68,-1.9596701239,-1.6074832346,-3.2412673401
69,69,-1.9596701239,-1.6074832346,-3.2412673401
70,70,-1.9596701239,-1.6074832346,-3.2412673401
71,71,-1.9596701239,-1.6074832346,-3.2412673401
72,72,-1.9596701239,-1.6074832346,-3.2412673401
73,73,-1.9596701239,-1.6074832346,-3.2412673401
74,74,-2.6197451041,-1.6074832346,-3.2412673401
75,75,-2.6197451041,-1.6074832346,-3.2412673401
76,76,-2.6197451041,-1.6074832346,-3.2412673401
77,77,-2.6197451041,-1.6074832346,-3.2412673401
78,78,-2.6197451041,-1.6074832346,-3.2412673401
79,79,-2.6197451041,-1.6074832346,-3.2412673401
80,80,-2.6197451041,-1.6074832346,-3.2412673401
81,81,-2.6197451041,-1.6074832346,-3.2412673401
82,82,-2.6197451041,-1.6074832346,-3.2412673401
83,83,-2.6197451041,-1.6074832346,-3.2412673401
84,84,-2.6197451041,-1.6074832346,-3.2412673401
85,85,-2.6197451041,-1.6074832346,-3.2412673401
86,86,-2.6197451041,-1.6074832346,-3.2412673401
87,87,-2.6197451041,-1.6074832346,-3.2412673401
88,88,-2.6197451041,-1.6074832346,-3.2412673401
89,89,-2.6197451041,-1.6074832346,-3.2412673401
90,90,-2.6197451041,-1.6074832346,-3.2412673401
91,91,-2.6197451041,-1.6074832346,-3.2412673401
92,92,-2.6197451041,-1.6074832346,-3.2412673401
93,93,-2.6197451041,-1.6074832346,-3.2412673401
94,94,-2.6197451041,-1.6074832346,-3.2412673401
95,95,-2.6197451041,-1.6074832346,-3.2412673401
96,96,-2.6197451041,-1.6074832346,-3.2412673401
97,97,-2.6197451041,-1.6074832346,-3.2412673401
98,98,-2.6197451041,-1.6074832346,-3.2412673401
99,99,-2.6197451041,-1.6074832346,-3.2412673401
100,100,-2.6197451041,-1.6074832346,-3.2412673401
101,101,-2.6197451041,-1.8672651926,-3.2412673401
102,102,-2.6197451041,-1.8672651926,-3.2412673401
103,103,-2.6197451041,-1.8672651926,-3.2412673401
104,104,-2.6197451041,-1.8672651926,-3.2412673401
105,105,-2.6197451041,-1.8672651926,-3.2412673401
106,106,-2.6197451041,-1.8672651926,-3.2412673401
107,107,-2.6197451041,-1.8672651926,-3.2412673401
108,108,-2.6197451041,-1.8672651926,-3.2412673401
109,109,-2.6197451041,-1.8672651926,-3.2412673401
110,110,-2.6197451041,-1.8672651926,-3.2412673401
111,111,-2.6197451041,-1.8672651926,-3.2412673401
112,112,-2.6197451041,-1.8672651926,-3.2412673401
113,113,-2.6197451041,-1.8672651926,-3.2412673401
114,114,-2.6197451041,-1.8672651926,-3.2412673401
115,115,-2.6197451041,-1.8672651926,-3.2412673401
